,sentiment,published_at,title,content,url,category,id,summary
0,"Positive

The article has an overall positive sentiment towards autonomous vehicles and their potential impacts. While challenges are recognized, the tone emphasizes the promising capabilities of self-driving systems and their expected benefits for society. The future societal adoption of autonomous vehicles is portrayed as likely and transformative in a good way.",2024-11-22 05:53:31.212964+00:00,How our vehicles become a Autonomous Vehicles!,"The article discusses autonomous vehicles, which are cars and other vehicles that can drive themselves without human input. It notes that autonomous vehicle technology has advanced significantly in recent years, with companies like Tesla, Google, Uber, and traditional automakers developing self-driving systems. Key aspects covered include the potential benefits of autonomous vehicles, such as increased safety, reduced traffic congestion, and greater mobility for non-drivers. Challenges are also acknowledged, including high costs, skepticism about safety, and ethical issues around programming decision-making. Overall, the article conveys a sense of optimism that autonomous vehicles will become a common sight in the coming decades, transforming transportation and society in profound ways.",https://miro.medium.com/v2/5d8de952517e8160e40ef9841c781cdc14a5db313057fa3c3de41c6f5b494b19,vehicles,0GgONyaakVei5cnkBSx3,
1,"Negative
The overall sentiment is negative due to the defeat, criticism of the cricket board, and calls for accountability and reform. However, there are some optimistic views urging patience. The tone is mostly pessimistic about the state of Pakistan cricket.",2024-07-24 18:48:22+00:00,Cricket Diplomacy,The Cricket World Cup 2024 has sparked heated debate in Pakistan after the national team's defeat to India. Many criticize the Pakistan Cricket Board for poor planning and preparation. There are calls for an overhaul of domestic cricket structure and player selection process. Some demand accountability from captain and coach. Others blame politics in cricket board. A few urge patience and point to signs of improvement despite loss. The future of Pakistan cricket hangs in balance amidst demands for reform.,https://www.pakistantoday.com.pk/wp-content/uploads/2024/07/Beta-20.jpg,cricket,0h2ttZXMl8kHkU7S3WER,
2,"Positive

The article has an overall positive sentiment towards autonomous vehicles and their potential benefits for society, even though it acknowledges current limitations and challenges. The tone is optimistic about autonomous vehicles improving safety, providing mobility, and transforming transportation in the future.",2024-11-22 00:46:36.399723+00:00,How our vehicles become a Autonomous Vehicles!,"The article discusses autonomous vehicles, which are cars and other vehicles that can drive themselves without human input. It notes that autonomous vehicle technology has advanced significantly in recent years, with companies like Tesla, Waymo, and Uber making major investments. While fully autonomous vehicles are not yet available to consumers, many new cars have semi-autonomous features like lane keeping assist and adaptive cruise control. Proponents argue autonomous vehicles will improve safety by eliminating human error and will provide mobility to people unable to drive. However, there are still technological and regulatory hurdles to overcome before widespread adoption. Key challenges include improving sensor technology, handling complex driving scenarios, and establishing regulations and insurance protocols. Overall, the article is optimistic that autonomous vehicles will transform transportation in the coming decades.",https://miro.medium.com/v2/5d8de952517e8160e40ef9841c781cdc14a5db313057fa3c3de41c6f5b494b19,vehicles,0jnm1mTbvaJ4SQZXKHGe,
3,,2021-09-30 12:08:04+00:00,Genius Sports : Connecticut Awards Genius Sports Inaugural Sports Betting License,"State gaming authority grants Genius Sports approval to support sportsbook partners statewide.
... | September 30,  2021",https://www.marketscreener.com/images/twitter_MS_fdgris.png,Sports,0ljj9n3oyKZd0YcBnYzn,
4,,2023-04-18 17:49:35+00:00,Electric vehicles,"The Tesla model 3 & other vehicles is a fully electric vehicle that has been produced by the American electric vehicle manufacturer, Tesla Inc. The Model 3 was ...",https://miro.medium.com/v2/1*m-R_BkNf1Qjr1YbyOIJY2w.png,vehicles,0yPuXeFaGnlqMsY2GlcM,
5,"Positive

The article has an overall positive sentiment. The Tesla Model 3 has been very successful, driving strong sales and demand even with production issues. It represents a major step forward for electric vehicles to become more mainstream and affordable. The Model 3's technology and performance capabilities are viewed favorably. However, some challenges remain in ramping up manufacturing. But the vehicle's early success indicates growing enthusiasm for Tesla's electric vehicles.",2024-11-22 00:40:37.076033+00:00,Electric vehicles,"The Tesla Model 3 is a fully electric sedan produced by Tesla Inc. since 2017. The Model 3 is Tesla's first mass-market electric vehicle, designed to be more affordable than Tesla's luxury models. Key features of the Model 3 include its long range battery allowing over 300 miles per charge, fast charging capability, and advanced driver assistance features. The Model 3 has sold very well, helping Tesla grow into the world's most valuable automaker. However, Tesla has struggled to achieve high production volumes for the Model 3 amid manufacturing challenges. Overall, the Model 3 represents Tesla's effort to bring electric vehicles into the mainstream.",https://miro.medium.com/v2/1*m-R_BkNf1Qjr1YbyOIJY2w.png,vehicles,145VRXWnzoowKRhjj0ot,
6,"Positive

Explanation: The overall sentiment expressed in the topic is positive. Gadkari praises and encourages party workers to work with dedication and vision without expectation of personal benefits. His statements value commitment to the party's ideology and nation's progress. The tone is uplifting for party workers.",2024-11-22 00:54:39.544290+00:00,Politics now only means 'power politics': Gadkari,"Gadkari said that a good party worker is one who behaves well even if they do not get anything from the party. He stated that those who receive benefits naturally behave well, but the real workers are those who work selflessly without expectation of reward. Gadkari emphasized that workers should have dedication, commitment and vision for the party's ideology and nation's progress. He advised workers to not get disappointed and instead keep working hard as their efforts will be recognized.",https://im.rediff.com/news/2024/sep/27nitin-gadkari.jpg,politics,1HcCqdThyfclcIuvViiy,
7,,2024-06-23 21:06:23+00:00,World Finance Islamic Finance Awards 2024,A list of the companies awarded in the World Finance Islamic Finance awards 2024 can be seen below.,https://www.worldfinance.com/wp-content/uploads/2024/06/WF-Islamic-Finance-Awards-2024-450x450.jpg,Finance,1kiPNXBcmwRIk1x8dTnz,
8,"Negative

The overall sentiment is negative due to the ongoing issues with the Apple Weather app that are impacting user experience. Users are frustrated that a built-in app by Apple itself is malfunctioning. The problems have persisted for months without a proper fix.",2024-06-06 03:28:00+00:00,The Apple Weather app is under the weather,"The Apple Weather app is, well, under the weather on the iPhone and the Mac.",https://m-cdn.phonearena.com/images/article/159107-wide-two_1200/The-Apple-Weather-app-is-under-the-weather.jpg,weather,1utJrERUjPVxtl19dNpp,
9,Positive,2024-11-22 00:40:35.949498+00:00,ARTS: Mecca of Liberal Arts,"Hindu College is known for its lively and engaging academic environment, especially in the humanities fields. As a result, the college is an appealing choice for many students hoping to study subjects like history, literature, philosophy, and languages. Hindu College fosters an interactive culture of learning through small classes, accessible professors, vibrant student organizations, and emphasis on discussion. This makes the college stand out as an engaging intellectual community. Many aspiring humanities students are drawn to Hindu College for the opportunity to be part of a tight-knit group focused on the liberal arts.",https://static-bestcolleges.tosshub.com/2024/News/UbT34NBnlpp8ybksAgCnJU3sdl2f62HHQuuzfvXQ.jpg,arts,25JDGDm8wUlpG2RwD5Vi,
10,,2024-09-09 16:36:46+00:00,Cricket Adds New Affordable Phones Under Cricket Brand,"Cricket has launched two new affordable 4G phones as white-label models (under its own brand). The Cricket Icon 6 replaces the Icon 5, and the Cricket Debut S3 ...",https://www.phonescoop.com/img/a/f/23347_600_a_d11878c3dc20c2ecc22b6ff8dc0d55e1.jpg,cricket,265vqss1X4UWjJrViScP,
11,,2023-01-21 08:45:43+00:00,Why read fiction?,"It opens doors to a new life, we become a better version of ourselves",https://th-i.thgim.com/public/news/national/wj7iv8/article66398899.ece/alternates/LANDSCAPE_1200/iStock-1395353489%20%281%29.jpg,Fiction,2a5VqFAaVVczHXE7AV2m,
12,,2024-09-06 06:36:20+00:00,Food Roll! You into food?,Welcome to Food Roll! The board game where your strategic decisions and luck with dice will decide what you order for dinner.,https://i.kickstarter.com/assets/046/290/234/44fd6e4699d740a6b25ceb81f26a0468_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=42ifaQGqPaipDTgaOaV7ln9dZuuBEbeVTjPAL4%2BtUJw%3D,Food,2cxA7C6D6NOMFq69KAWd,
13,"Positive

Explanation: The description emphasizes Hindu College's strengths - its energetic academic culture, focus on interactive learning, and popularity among humanities students. The tone is upbeat and highlights the engaging qualities that make the college a top choice for many students. Therefore, the overall sentiment is classified as positive.",2024-06-25 07:34:11+00:00,ARTS: Mecca of Liberal Arts,"Hindu College retains a vibrant, interactive culture of education, making it the place to be in for many an aspiring humanities student",https://static-bestcolleges.tosshub.com/2024/News/UbT34NBnlpp8ybksAgCnJU3sdl2f62HHQuuzfvXQ.jpg,arts,2hFngveD0A19oSTcS9oM,
14,,2023-12-29 14:02:13+00:00,Weather: Take precautions during inclement weather conditions,"South African Weather Service issued severe weather alerts, including severe thunderstorms, damaging and strong winds, and disruptive rains.",https://www.thesouthafrican.com/wp-content/uploads/2023/12/Untitled-design-2023-12-29T153959.273.jpg,weather,2hKNj9O92Y7NvEtLoq3l,
15,,2023-08-02 14:03:32+00:00,Arts Commons names new vp with extensive arts experience,"Sarah Garton Stanley, an arts leader with extensive experience, including at the National Arts Centre, is the new VP of programming for Arts Commons.",https://smartcdn.gprod.postmedia.digital/calgaryherald/wp-content/uploads/2023/08/sarahstanley-alejandrosantiago-3238.jpg,arts,2vSIK1VY6AOL6twHHXnd,
16,,2024-07-24 18:48:22+00:00,Cricket Diplomacy,The Cricket World Cup 2024 has generated a multileveled countrywide critical debate in Pakistan with the defeat of the Pakistan cricket team in a match with the...,https://www.pakistantoday.com.pk/wp-content/uploads/2024/07/Beta-20.jpg,cricket,3BQC0wuqj2o5Woc1ZMnd,
17,"Positive

The appointment of an experienced arts leader like Sarah Garton Stanley to a key programming role is viewed positively. Her background at the renowned National Arts Centre is impressive and she seems well-equipped to take on the VP position at Arts Commons. Overall, the sentiment around her hiring is optimistic that she will enrich Calgary's performing arts scene.",2023-08-02 14:03:32+00:00,Arts Commons names new vp with extensive arts experience,"Sarah Garton Stanley, an experienced arts leader, has been appointed as the new Vice President of programming for Arts Commons in Calgary. She previously held senior roles at the National Arts Centre in Ottawa. As VP, she will be responsible for overseeing programming across Arts Commons' five venues. With her extensive background, she aims to showcase a diverse range of performing arts and make Arts Commons an inclusive hub for Calgary's arts community. The appointment is seen as a positive move that will strengthen Arts Commons' programming.",https://smartcdn.gprod.postmedia.digital/calgaryherald/wp-content/uploads/2023/08/sarahstanley-alejandrosantiago-3238.jpg,arts,3brhNpV3CNcvWYNwBgDF,
18,,2021-12-02 21:15:16+00:00,Google My Business Becomes Google Business Profile,Google My Business has become Google Business Profile. This will allow small businesses to better manage their profile and engage with their customers,https://media.smallbiztrends.com/2021/12/your-business-on-googel.png,Business,3cxfq3Qv0uMnC4tMWLze,
19,,2024-07-24 18:48:22+00:00,Cricket Diplomacy,The Cricket World Cup 2024 has generated a multileveled countrywide critical debate in Pakistan with the defeat of the Pakistan cricket team in a match with the...,https://www.pakistantoday.com.pk/wp-content/uploads/2024/07/Beta-20.jpg,cricket,3iC6guQW4gsTXEBXLaQW,
